timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168389.942,7.324,26.367,12.695,22.461,5.859
1711168389.946,7.812,26.367,9.277,3.906,57.129
1711168389.950,51.270,26.367,4.883,-5.371,-7.812
1711168389.954,47.852,26.367,3.906,-6.348,-25.391
1711168389.958,0.977,21.973,7.812,12.695,57.617
1711168389.962,7.812,23.438,9.277,14.648,50.293
1711168389.966,59.570,25.879,10.254,2.441,42.969
1711168389.970,0.000,26.855,0.000,9.766,42.969
1711168389.974,0.000,29.297,0.000,21.973,27.344
1711168389.978,0.000,24.414,0.000,37.109,68.359
1711168389.982,0.000,16.602,0.000,28.320,71.777
1711168389.985,0.000,19.531,0.000,22.949,22.461
1711168389.989,0.000,22.949,0.000,28.809,1.465
1711168389.993,0.000,20.508,0.000,22.949,55.176
1711168389.997,0.000,20.508,0.000,24.414,52.246
1711168390.001,0.000,29.297,0.000,23.438,-1.953
1711168390.005,0.000,27.832,0.000,11.719,-15.137
1711168390.009,0.000,25.879,0.000,14.648,-10.254
1711168390.013,0.000,27.344,0.000,19.531,27.832
1711168390.017,60.059,23.438,9.766,21.973,25.879
1711168390.021,61.523,25.879,12.695,29.785,14.160
1711168390.024,15.625,27.344,12.695,32.227,48.340
1711168390.028,31.250,22.461,16.602,31.738,58.105
1711168390.032,72.754,20.996,15.625,28.320,92.285
1711168390.036,70.801,20.996,9.277,20.508,79.102
1711168390.040,36.133,20.996,13.184,16.602,28.320
1711168390.044,17.578,17.578,16.602,28.809,35.645
1711168390.048,41.504,20.020,16.113,40.527,73.242
1711168390.052,65.430,20.996,20.996,44.922,78.125
1711168390.056,39.062,15.137,20.020,31.738,53.711
1711168390.060,9.277,10.254,20.020,27.344,53.711
1711168390.064,0.000,12.695,23.926,0.000,64.941
1711168390.067,0.000,18.066,26.855,0.000,21.973
1711168390.071,0.000,24.414,29.297,0.000,6.836
1711168390.075,0.000,19.531,28.320,0.000,17.090
1711168390.079,0.000,17.578,26.855,0.000,4.883
1711168390.083,0.000,23.926,28.809,0.000,17.578
1711168390.087,0.000,28.320,27.832,0.000,17.578
1711168390.091,0.000,30.273,28.809,0.000,63.965
1711168390.095,0.000,25.879,35.645,0.000,82.520
1711168390.099,0.000,27.832,35.156,0.000,12.207
1711168390.103,0.000,27.832,35.645,0.000,14.648
1711168390.106,0.000,26.855,35.156,0.000,92.285
1711168390.110,36.133,31.250,33.691,59.570,77.148
1711168390.114,78.125,30.762,35.645,32.227,19.531
1711168390.118,61.035,34.668,39.551,24.414,23.438
1711168390.122,6.836,41.016,40.527,35.645,80.078
1711168390.126,18.555,43.457,34.668,33.203,42.480
1711168390.130,66.406,45.410,35.156,36.621,10.254
1711168390.134,54.688,48.828,32.227,39.551,-31.738
1711168390.138,14.160,48.340,27.344,43.945,-39.062
1711168390.142,18.555,46.387,26.855,52.734,8.789
1711168390.146,60.059,43.457,23.926,40.039,-13.184
1711168390.149,75.684,40.039,28.809,26.855,5.371
1711168390.153,51.270,45.410,33.203,29.297,60.547
1711168390.157,38.574,48.340,0.000,31.250,20.996
1711168390.161,53.711,48.340,0.000,34.180,8.789
1711168390.165,73.730,47.363,0.000,36.621,31.738
1711168390.169,42.969,47.363,0.000,35.156,34.180
1711168390.173,3.418,47.363,0.000,37.109,41.016
1711168390.177,25.879,44.922,0.000,38.574,-19.531
1711168390.181,78.125,41.016,0.000,39.062,15.137
1711168390.185,72.266,31.250,0.000,35.645,82.520
1711168390.188,28.809,31.738,0.000,34.668,19.531
1711168390.192,34.180,36.133,0.000,37.598,14.160
1711168390.196,65.918,34.668,0.000,37.598,44.922
1711168390.200,65.918,30.762,0.000,26.855,52.246
1711168390.204,37.109,24.902,27.832,18.555,71.289
1711168390.208,29.785,26.855,26.367,32.227,-3.906
1711168390.212,63.477,29.785,26.855,29.297,-14.648
1711168390.216,82.520,30.273,32.715,22.949,32.715
1711168390.220,39.062,33.691,31.738,28.809,0.000
1711168390.224,6.348,32.715,29.785,29.785,19.043
1711168390.227,50.293,28.809,27.344,42.969,-13.672
1711168390.231,81.543,27.832,21.973,39.551,9.766
1711168390.235,41.992,29.785,22.949,18.066,70.801
1711168390.239,3.418,36.133,24.902,24.902,58.105
1711168390.243,18.066,37.598,26.367,32.715,41.016
1711168390.247,58.594,30.762,28.320,22.949,18.066
1711168390.251,52.246,30.273,31.738,17.090,6.348
1711168390.255,14.648,30.762,32.715,18.066,47.363
1711168390.259,11.230,30.273,32.227,26.855,44.922
1711168390.263,49.805,31.250,29.785,32.715,74.219
1711168390.266,71.777,28.809,27.832,15.625,77.148
1711168390.270,20.996,27.832,26.855,9.277,53.711
1711168390.274,2.930,21.484,20.020,26.367,52.246
1711168390.278,57.129,16.113,19.531,24.902,72.754
1711168390.282,69.824,17.578,20.508,10.742,70.801
1711168390.286,27.344,20.508,20.996,17.090,32.227
